"","LCCN","Year","Month","Day","Page","Issue_Length","Collocates"
"1","sn85035720","1903","04","18","seq-6",6,000 damage to the transatlantic terminal mrs b s willing mother of mrs john jacob astor died suddenly at philadelphia andrew carnegie and others are said to have promised a large sum to endow a university at pittsburg russia and austria urged the
"2","sn85035720","1903","04","21","seq-6",6,vania women s international alliance for peace arnlrfw c riif lrt irneroaltjr ithaca n y april 21 another gift from andrew carnegie in connec tion with the typhoid fever epidemic is announced his draft for 500 having been received by m m dayton
"3","sn85035720","1903","04","23","seq-2",6,april 23 george w cable founder of the home culture club system has announced a gift of 50 000 from andrew carnegie for the club s work the donation will be used for the erectirfn of buildings here the headquarters of the move
"4","sn85035720","1903","04","24","seq-5",8,the trustees of the tuskegee normal and industrial institute in alabama have received 000 000 toward the endowment fund from andrew carnegie who attended the recent meeting in behalf of the tuskegee institute where ex president grover cleveland presided north am boy items
"5","sn85035720","1903","04","25","seq-2",6,ball of the rarit lpd traction co emlovees thnrsdav evening curiii dlr n iseneroim bid for price washington april 2 andrew carnegie s lajtest gift is to take the form of a 1 500 000 international peace tribunal hall and library at the
"6","sn85035720","1903","05","01","seq-8",8,has been completed and i water wns turned into the mains to day this plant is the one which an drew carnegie is paying for lowney s chocolates at i d v rusfl s 383 state street i slovak cadets to cive charity
"7","sn85035720","1903","05","15","seq-5",8,be remark able carnegie library open walpole mass may 15 the new public library building the com bined gift of andrew carnegie and public spirited citizens of the town has been opened the building complete cost 25 000 of which amount 15 000
"8","sn85035720","1903","06","02","seq-1",6,york for 7 500 received by s g garretswi work being rushed the last payment for the nef library from andrew carnegie has been received by s g garret son in the shape of a check for 7 600 the work is progressing
"9","sn85035720","1903","08","05","seq-5",6,surprise in ilnanclal circles where it had for some time been foreshadowed the new president wns for years one of andrew carnegie s ablest lieutenants and is now president of the carnegie steel company one of the subsidiary concerns of the united states
"10","sn85035720","1903","08","06","seq-2",6,the run as early as possible under ordinary tour ng conditions curiieirle h gift to him hlrthplnce london aug 0 andrew carnegie ias made known his intention to de late 2 500 000 in united states steel orporation bonds to dunfermline icotlund his
"11","sn85035720","1903","09","17","seq-2",6,that mr chai j b h will modify his fiscal scheme monlsso with the views of prem i bjjhbn hh andrew carnegie is to be asj h i establish libraries at chattanoogr hh h other sonfhern cities for the exeln hj use of
"12","sn85035720","1903","09","29","seq-5",6,better sentiment pre vails one of the owners is said to be mr carnegie who is a nephew of an drew carnegie he lias spent 200 000 on his camp within the last two years another who is known to have come under
"13","sn85035720","1903","10","31","seq-2",8,oets 1 the joy of giving one s wealth to s native place were the topics dis tsed hy mr andrew carnegie upon return with mrs carnegie and their le daughter to this city utoyant with health and fine spirits carnegie chatted in
"14","sn85035720","1903","11","14","seq-6",6,consid eration the eomi il of irants pass has leeided to decline the offer of 1 4 000 mule by andrew carnegie for a li irary for the city the city council lid not approve of certain stipulations ittaehed to mr carnegie s
"15","sn85035720","1903","11","28","seq-6",6,to doming doming was recognized by the report ers as the same individual who railed it t i morgan and andrew carnegie from the white star pier as they were caving for europe on the oodrie on vjvit 24 at that time lie
"16","sn85035720","1903","12","17","seq-2",6,new jersey carii ulf anil urro tuontlon new york dec 17 in an address to the armstrong association here mr andrew carnegie declared the recent action of the union league club in ref ercuce to the negro question was an at tempt to
"17","sn85035720","1904","03","19","seq-4",8,wln throp college iho state college for wo men at kookhill s has received a gift of 20 000 from andrew carnegie for a library building stevenson tile sculptor dealt london march 1 david watson stevenson the sculptor lias died at edinburgh lie
"18","sn85035720","1904","03","21","seq-2",6,latest gift of s 000 000 new york march 21 departing from liia usual attitude of affable com municnbiilty mr andrew carnegie would not dlaeuas either public issues or hla latost reported private benefac tion of 5 000 000 to the pittsburg technical
"19","sn85035720","1904","04","04","seq-2",6,am sure they will make the fair a success the countess sent telegrams to mr j plerpout morgnn nnd mr andrew carnegie advising them of the enter tainment and its objects the pro ceeds of the fair together with the cash subscriptions will
"20","sn85035720","1904","04","12","seq-5",6,pay 33 cents on tho dollar but this is not authentic mrs cnrnesrle s offer new york april 12 mrs andrew carnegie has offered to equal the high est donation to the speedwell country homes society for the opening of a tuberculosis camp
"21","sn85035720","1904","04","16","seq-4",6,disaster when be summoned to new york mr charles l taylor chairman and f m yvil niot manager of the andrew carnegie relief fund to discuss with hint plans for the relief of the sufferers from this catastrophe on this occasion mr carnegie
"22","sn85035720","1904","04","27","seq-3",6,society at delmonico s he made the hit of the evening by reading a paper 011 his efforts to get andrew carnegie interested in a na tional arts theater the gospel ac cording to andrew wns his theme he began by stating that
"23","sn85035720","1904","05","04","seq-4",6,made public the first official descrip tion of the departments of the new schools to build equip and endow which andrew carnegie has announc ed he will give unlimited millions each student will be allowed 110 square feet of floor space and the
"24","sn85035720","1904","06","04","seq-4",6,s progress is discovered it is bocanso new brunswick throws cold wator on lovers and lovo making some timo tgo andrew carnegie gave binnswick r library building its front is orna mented with broad stouo steps ubed in the anytime by the patrons
"25","sn85035720","1904","07","14","seq-12",42,lack of houses to rent s r farrington perth anibo city hospital fvirst j ihrary to he uilt ify g ndretd arnogie in jersey the history of the perth aniboy pub lie library is of more than ordinary interest being a talc of
"26","sn85035720","1904","07","14","seq-12",42,law ol dr william j i i lesser to whose tf oris much credit for securing the de lation from andrew carnegie for the iresent handsome building is due diss bower was for several years the natron of the ministers home the library
"27","sn85035720","1904","07","14","seq-12",42,plan e to ask for a gift of an appropriate 1 amount it was just about this time that f andrew carnegie was giving awa the largest amounts for the foundic of carnegie libraries throughout this palt of the country mr i lesser
"28","sn85035720","1904","08","29","seq-2",6,established at st louis upon the world s fair grounds back of the movement are grover cleveland david it francis andrew carnegie cornelius n bliss and others flans are making to have a vast number of the wnge earners of the united stutes
"29","sn85035720","1904","08","31","seq-7",8,tol l we would be undisturbed oonneaat is a most interesting place that bae been brought to the front by andrew carnegie and the steel trust and has been bnilt for tho roeciving of iron ore from the lake superior mines the harbor
"30","sn85035720","1904","09","06","seq-6",6,brussels sopt 3 the govern ment of the netherlands has decided to meet the unlace of peace given by an drew carnegie in the woods of sclie eniugen 011 a hill overlooking the ocean sahkoncfl did not escape st petersburg sept 0 there
"31","sn85035720","1904","10","06","seq-4",6,bureau for study by a special committee purt of the phraseology of a cable gram prepared to be sent to andrew carnegie was objected to by a dele i gate from new york and it was tluul ly rewritten so that mr carnegie
"32","sn85035720","1904","10","24","seq-5",6,and steel institute who will hold a convention in new york and have a reception at the resi dence of andrew carnegie and latci visit president roosevelt at washing ton and the st louis exposition mr and mi s carnegie and miss carnegie
"33","sn85035720","1904","10","24","seq-5",6,new yoitk oct 24 john morley british man of letters has arrived on the celtic and is the guest of andrew carnegie here he will be the guest of president ltoosevolt in washington and of lord minto in canada tons of stone fell
"34","sn85035720","1904","11","23","seq-3",6,0 gl si 13 01 is sl rnruvglc ijiijs wriii lit estnto london nov 23 a provincial pa per says andrew carnegie has pur chased or is about to purchase for 3 750 000 lea park the late wliltaker wright s estate in
"35","sn85035720","1904","11","30","seq-4",8,referring r piiijtieularly t6 ttib note for tfyoojiot 0 najd to have been signed with the name f of j andrew carnegie mr carver said r 111 mr newton s 1 111 of eomplaint i i wiiicli lias tieen iiled in the suit
"36","sn85035720","1904","12","01","seq-5",6,a unaui i mous vote the finance committee of at lanta s general council agreed to accept the proposition of andrew carnegie do j anting 10 000 for a library for lie groes the amount appropriated by the 1 finance committee is 1
"37","sn85035720","1904","12","03","seq-4",8,il for tlie third tltue since its organization the carne gie veterans association gathered last night at the home of andrew carnegie for its annual diaper as guests of the ironmaster there were forty one mem bers present all men who were asso
"38","sn85035720","1904","12","03","seq-4",8,wall streat where she vis ted yesterday the offices of butler notnian inline slyndei we who arc mpposod to lie andrew carnegie s law fern sirs chadwiek got out of the fifth story window of that building to the roof of an adjoining
"39","sn85035720","1904","12","07","seq-6",8,rector for new york harbor itled at ia home here last night of pneumonia i federal officer did not see andrew carnegie mrs chadwick leaves her hotel mynteajoum hox said to hate arrived at mew york containing heonritiea yalned at s kio 0
"40","sn85035720","1904","12","07","seq-6",8,notes alleged to have been given iri reyn ihls of cleve land and snid to bear the name of an drew carnegie would lie discussed that the cliadwlck esse is rapidly hearing a climax is the conclusion reached by those interested and new
"41","sn85035720","1904","12","07","seq-6",8,in his posses sion two notes one for 500 000 and another for 250 100 alleged to bear the signature andrew carnegie he was ndipconiinlttal when asked if lie intended to see mr carnegie messrs reynolds and lyons held an earnest consultation kdwitrd
"42","sn85035720","1904","12","07","seq-6",8,beckwith says lip was induced t give mis clmdwlek more than 300 nk on notes hearing the name of an drew carnegie mr carnegie when seen reiterated his denial that he had signed any notes and added if any united states gov ernment
"43","sn85035720","1904","12","08","seq-4",8,of the case which we have prepared i cannot talk at present the i otes signed with the name of andrew carnegie will enter j into it i suppose and we may try to j prove forgery lint 1 think we can go
"44","sn85035720","1904","12","08","seq-4",8,possession the s t of utlo in securi ties belonging to mrs cbndwiek county prosecutor kec er lias sent to andrew carnegie to m out if his name bus lieon forged successful in ifamafcifc this mr keolor will mil upon sir car negie
"45","sn85035720","1904","12","15","seq-7",8,did avenue lias been surrendered to hecelver nathan l oeser who placed a custodian in charge of the property that andrew carnegie is willing to appear against mrs chudwlck when his health lias sufficiently improved was made clear in a statement given out
"46","sn85035720","1904","12","27","seq-6",6,prove that dr chadwlek was in the state of ohio march 5 1003 when the forgery of the signature of andrew carnegie in which he is ac cused of huving been concerned with his wife mrs cassie l chadwlek is alleged to have
"47","sn85035720","1905","01","06","seq-4",10,i hoop of lebanon valley i j idlege atiiiville has made anmatnee inenl of the receipt of a hdter from andrew carnegie in which the latter promises to give sr u uiht toward ereet jl ing a greater lebanon valley college on condition
"48","sn85035720","1905","01","06","seq-4",10,i i 11 i hi iicvi ic l ilit iii for ti l l v khtk1ku x j jan 15 andrew arnogie has offered sin nun for a li brary liere on the eoiiditioii tlnil flie lown provide a site and will agree
"49","sn85035720","1905","01","06","seq-5",10,i oit wis inn ii at the dedi eation of beloit college s carnegie li brary mr horace white said andrew carnegie had given more than l ono iioii for the construction of l i si library buildings the auiic restaurant when in
"50","sn85035720","1905","01","07","seq-5",8,of public impiovement to he held at the office of president crom well st george next tuesday morning state news andrew carnegie has offered 10 000 lor a lilrar lor westfieul on con litioa that the town provide a site aril will agree
"51","sn85035720","1905","01","09","seq-2",6,lirackott carnrft ir scored liy t orclli london dan p marie corelli in a letter to tint london newspapers criticises andrew carnegie s connection with the strike at the homestead mines in which much blood was sited she says that he remained quiescent
"52","sn85035720","1905","01","13","seq-3",12,fills and tonics as a cure for all ills carnrete f lvea sf o ooo appi eton wis tau 13 andrew arnegie has given s to ooh for a li irary at lawrence university the wis ousin methodist college here work 1 at
"53","sn85035720","1905","01","14","seq-2",6,or alnioii gunnison president of st l awrciieo university announced tlial lie liad re eel veil sr 1 01111 from andrew carnegie with whieli to imild and equip a new science ball the news was received by the students with great enthusiasm and
