"","LCCN","Year","Month","Day","Page","Issue_Length","Collocates"
"1","sn85035720","1903","04","06","seq-5",6,during the night condensed dispatches cotton prices have reached the high est point of the sea son willinm f cody buffalo bill has concluded a successful three months engagement at the olympia london by the drop in the price of coffee in new
"2","sn85035720","1903","04","08","seq-2",6,in galaida s hall saturday night wilson watson the fanoy shoot ers will soon go the england to join v buffalo bill s wild west henry laforge spent yesterday in m etnohen john pfeiffer has purchased a new horse captain james barton of
"3","sn85035720","1903","05","26","seq-1",6,grandpa by w a belcher happy hooligan by wilbur laroe burlesque policemen by m e hansen and f d easterbrook buffalo bill by william files alkali ike by joseph burns while george j haney and w t strong will im personate rubes the
"4","sn85035720","1903","05","29","seq-1",6,f eilert j j cunningham and e j mccormick was well worth the price of admission and william files as buffalo bill was simply great dr orowther who was the strong man put all rivals in the shade and he should be secured
"5","sn85035720","1903","06","01","seq-6",6,this reason the match has been declared off and the 1 000 post ed with the international atblctic club of buffalo will be forfeited mc govern is suffering from a severe at tack of malaria water ville me junfe 1 ar thur bryant
"6","sn85035720","1903","12","16","seq-6",8,and professional i at f rari p sir samuel baker once had a thrilling 1 tdven ure with an african buffalo bull j which he discovered standing in the callows of a small lake lie fired two ull ts without efi f and
"7","sn85035720","1904","03","24","seq-6",8,building ontheseconl sundny of each month at 3 o rlri v 7 n rhn clark president cody s complaint i buffalo bill was sick from christmas dinner wife said she vvol l d fix jle up c lhliim mil fliwl 111ni l i
"8","sn85035720","1904","03","24","seq-6",8,hist in tl u is in ii a r i r dexyeh ma it it im colonel wil lima cody buffalo hill lias made a deposition lief ore a notary in this city in tlie action tor divorce tvhiclf he lias begun in
"9","sn85035720","1904","04","08","seq-4",10,in i railroad wreck chief smoked while death came cjticugro fn t mnil struck car fall of red men of buffalo dill s or ganization bound for new york maywood iii april 8 ti10 chi cago and northwestern fast mall dur ing a
"10","sn85035720","1904","04","08","seq-4",10,were killed three were fatally injured and twenty others were more or less hurt the indians were members of the buffalo bill organization from itush ville nel and at new york were to embark for england kill ilead skull crushed philip ironfall body
"11","sn85035720","1904","10","28","seq-9",12,i i gray frock coat gray trousers a gray slouch hat and a gray mustach and chin tuft a la buffalo bill says the cincinnati enquirer i am a western almond farmer he iaid to the reporter i grow almonds ion the same
