"","LCCN","Year","Month","Day","Page","Issue_Length","Collocates"
"1","sn85035720","1903","10","10","seq-5",6,minister m delcasse accompanied president loubet to london recently he dis cussed with lord lansdowne the pos sibility of a russo japanese war with the result that both foreign ministers agreed to exert the utmost possible pressure to prevent tlieir respective far eastern
"2","sn85035720","1903","10","16","seq-4",10,informed of the signing of tlie commercial treaty between china and japan which may have an important bearing on the russo japanese situa tion the treaty opens mukden the capital of manchuria and one other port to japanese commerce china s opening of
"3","sn85035720","1903","12","23","seq-5",6,23 the chinese offl l hils are awakening to the m ril con fronting china in the event of a russo japanese war and they are greatly distressed yu ting fang lias heel urging the united states legation on lis own responsibility to
"4","sn85035720","1904","01","02","seq-6",6,lansdowne holds war in far eabt must coma russia s answer is a refusal inftt faint ilope of peace in rnaso japaaeae controversy almoat at knd crent i owen cannot help the situation london jan 2 the secretary of state for foreign affairs
"5","sn85035720","1904","02","02","seq-4",6,expressed hope of the russian authorities that the present crisis will be passed and that a pacific solution of the ilusso japanese nego tiations will be reached it is no longer concealed that russia is practically preparing for eventualities by the mob ilization
"6","sn85035720","1904","03","09","seq-4",6,you only save a nickel harvard lampoon tho north western line russia japan atlas send ton cents in stamps for kusso japanese war alls issued by the t chicago north western it y three lino colored maps each 14x20 bjnnd in convenient form
"7","sn85035720","1904","03","10","seq-4",6,undertaker then the law yet agatn the north western line boss s japan atlas send ten oents in stamps for rnsso japanese war alls issued by the t chioago nortli western r y three fltia colored maps ottoh 14x30 bound ill convenient form
"8","sn85035720","1904","03","11","seq-8",10,loan s and tako no sub stitute the north western line russia japan atlas send ton cents in stamps for russo japanese war alls issued by tlie t ohioago north western r y three fine oolorod maps each 14x30 bonnd in convenient form
"9","sn85035720","1904","03","12","seq-4",6,on electricity mechanics and kindred natters the north western line fuss a japan aline send ten ceuts in stamps for knsso japanese war alls issued by tho t ohioago north western r y three fine colored maps each 14x20 bound in convenient form
"10","sn85035720","1904","03","14","seq-4",6,england is 210 that of canada 240 the north western line russia japan atlas send ten cents in stamps for russo japanese war alls issued by the t chicago north western r y three fine colored maps enoh 14x20 bonnet in convenient form
