"","LCCN","Year","Month","Day","Page","Issue_Length","Collocates"
"1","sn85035720","1903","05","14","seq-2",6,was in waiting to watch the president turn his shovelful of earth for the mckinley monument many representatives of the spanish american war veterans the grand ar my and thq fioneers were in attend ance and they were referred to in eulo gistic
"2","sn85035720","1903","06","13","seq-1",6,printed in the news over two months ago the lottie moore gave the local customs officers considerable concern during the spanish american war when she laid at south amboy with coal bound for southern ports she was never heard from fter leav ing
"3","sn85035720","1903","07","29","seq-1",6,mr sweet will go to the catskill mountains to recuperate he has not been in very good health since the spanish american war in which he took part as a member of the 71st v regiment of new york during the war he
"4","sn85035720","1903","08","19","seq-5",6,formei union prisoners of war seldom lias a finer parade been wit nessed in san francisco the veterans of the spanisli american war and the national guard of california were well represented the order of red men which was largely represented added a
"5","sn85035720","1903","08","20","seq-2",6,the new york section followed penn sylvania led by lolin koster general nelson a miles was the guest of the spanish american war vet erans and the women s relief corps gave a reception to commander in chief stewart governor telia of third
"6","sn85035720","1903","10","26","seq-4",6,formerly chief engineer on the battle ship kentucky of the asiatic squadron died of brlght s disease here during the spanish american war he was inspect or in the bureau of navigation at washington wonhjniuud house destroyed hampton beach n h oct 26
"7","sn85035720","1903","10","31","seq-1",8,result he spoke of the present work and the indications of result in futur ity judged by the past the spanish american war was rehearsed the condition of labor and commerce was touched upon while speaking of the candidates of this election he
"8","sn85035720","1903","10","31","seq-7",8,the improvement of roads in securing legislation for the encouragement of manufacturing in terests in the county in helping the spanish american war veterans to se cure tile clothing allowance duo them he showed the proper regard for the soldiers of the civil
"9","sn85035720","1903","12","28","seq-4",6,taxation cubo involving tho s00 exemptions allowed to soldiers and sailors of the civil war veteran and volunteor firemon and spanish american war veterans john 0 tiopett of tho borough of uockaway morris county lias taken no appeal from the rccont decision of
"10","sn85035720","1903","12","28","seq-4",6,tlie delaware river ready to sail the activity at the yard resem bled the busy scenes there previous to the spanish american war brigadier general elliott commanding the ma rine corps and who is going to the isth mus on the dixie is
"11","sn85035720","1904","02","18","seq-3",6,the enemy and the conquest of the philippines is no exception to the rule says a medical journal during the spanish american war the unfortu nate conditions that developed in tho camps even at home proved serious by giving opportunities for the wide
"12","sn85035720","1904","02","18","seq-3",6,a noteworthy tendency to out breaks of typhoid fever which did not exist for at least a decade before the spanish american war from a large number of the smaller towns through out the country have come reports of the existence of typhoid
"13","sn85035720","1904","02","18","seq-3",6,the recent experiences in this country have taught us that war still remains a serious source of disease before the spanish american war it was thought that the development of sanitary sci ence had reached a point that would enable the army medical
"14","sn85035720","1904","03","09","seq-4",6,jaimncnc army seattle wash march x forty american nurses in charge of dr ani ta newooinb metjee president of the spanish american war nurses asso ciation have sailed front here on the lyo maru for japan the v expect to be assigned to
"15","sn85035720","1904","04","29","seq-5",10,miss lucy keynolds will nass the next week visiting friends in now york miss reynolds was a nurse during the spanish american war at a hospital in florida in the lady foresters fair tuesday miss alice branney won first prize for dressed dolls
"16","sn85035720","1904","06","09","seq-5",6,was a nephew of admiral t ervera who commanded the spanish hips at the battle of santiago cuba luring the spanish american war i hore had been trouble among the bull lighters over salaries since the fiasco of last sunday which was followed
"17","sn85035720","1904","06","14","seq-5",6,imposing in battle ships and armored cruisers than the entire navy of the united states at the time of the spanish american war to do tills the japanese had a sea force in ferior in numbers though possibly somewhat more coherent and homo
"18","sn85035720","1904","08","19","seq-2",10,by carl j schultz assistant adjut ant general department of now jer sey united states war veterans 1 whereat the spanish american war veterans the spanish war veterans and the service men of the spanish war have consolidated under the title of the
"19","sn85035720","1904","08","24","seq-2",6,them iu re plenishing the decimated uuvy of russia in which country he new is spanish war veterans the united spanish american w ai veterans of new jersey are holding theii first annual encampment iu g a h hall in the slack building
"20","sn85035720","1904","08","24","seq-2",6,the slack building on morrii street new brunswick today the or der is a consolidation recently acconr plisbed of the spanish american wai veterans and the service men of thi spanish war accused of grand larceny peter copinuss forty yearn old of 9
"21","sn85035720","1904","09","09","seq-1",8,york national guards with headquarters in brook lyn ho was also a united states regular and took part in tho spanish amerioan war campbell promoted frank campbell ofk state s reet who for some time past lias boon ussie tjdt to paul flcuard
"22","sn85035720","1904","09","22","seq-5",6,ship with his father at yonkers and while thero had visited mr walsh s sou who had been in the spanish ameiicau war be and mr walsh enjoyed a real good talk before parting for their respective destination lost a watch little corrinne
"23","sn85035720","1904","09","26","seq-6",6,000 000 par year this large ex penditure was due to a considerable ex tent to the cost of the spanish american war which occurred during that period but the termination of that wur brought no relief to the treasury for the average
"24","sn85035720","1904","10","18","seq-5",6,clifton s i he had long suffeted from a malignant disease which first appeared after his re turn from the spanish american war convention is on today the southern new york volun teer firemen s association convened at rockaway beach as told in
"25","sn85035720","1904","12","03","seq-5",8,good time and at ii clock refreshments were served spanish war veterans the tottenville members of the joseph jecker command spanish american vnr veteraus attended the meeting held it sfapleton thursday night the olec on of new officers took place news items lesley
"26","sn85035720","1905","01","04","seq-3",6,buried there mr nichols was a native of kvans ton iii lie served as a newspaper cor respondent in the spanish american war inter went to china and then started for tibet with a few chinese he intended to study the customs of
"27","sn85035720","1905","01","12","seq-4",6,by n rumor in the brya unipaign hint silver dollars v iu bo lit in half a fourth by the spanish american war and a fifth by the l ail ire of a bank in nebraska there was a small run also upon
"28","sn85035720","1905","02","04","seq-4",8,at the head of the latin american countries in the matter of letters beside pos sessing the oldest organs of spanish american journalists ll is said to liave n active existence the first library es tablished in america which i now at least
